,Date,Location,Tour,Track,Album
14741,"January 14, 1988 ","Coconut Teaszer, Hollywood, CA, USA",Appetite for Destruction,Wishing Well,#N/A
14742,"January 14, 1988 ","Coconut Teaszer, Hollywood, CA, USA",Appetite for Destruction,Communication Breakdown,#N/A
14743,"January 14, 1988 ","Coconut Teaszer, Hollywood, CA, USA",Appetite for Destruction,Scarred for Life,#N/A
14744,"January 14, 1988 ","Coconut Teaszer, Hollywood, CA, USA",Appetite for Destruction,Sentimental Movie,#N/A
14747,"January 14, 1988 ","Coconut Teaszer, Hollywood, CA, USA",Appetite for Destruction,Born to Be Wild,#N/A
14748,"January 14, 1988 ","Coconut Teaszer, Hollywood, CA, USA",Appetite for Destruction,Honky Tonk Women,#N/A
14755,"December 31, 1987 ","The Glamour, Los Angeles, CA, USA",Appetite for Destruction,(Unknown),#N/A
14835,"December 12, 1987 ","Louisville Gardens, Louisville, KY, USA",Appetite for Destruction,(Unknown),#N/A
14836,"December 9, 1987 ","La Villa Real Special Events Center, McAllen, TX, USA",Appetite for Destruction,(Unknown),#N/A
14881,"November 22, 1987 ","The Omni, Atlanta, GA, USA",Appetite for Destruction,Communication Breakdown,#N/A
14882,"November 22, 1987 ","The Omni, Atlanta, GA, USA",Appetite for Destruction,Honky Tonk Women,#N/A
14883,"November 21, 1987 ","UTC Arena, Chattanooga, TN, USA",Appetite for Destruction,(Unknown),#N/A
14901,"November 13, 1987 ","Savannah Civic Center, Savannah, GA, USA",Appetite for Destruction,(Unknown),#N/A
14918,"November 11, 1987 ","Charlotte Coliseum, Charlotte, NC, USA",Appetite for Destruction,Whole Lotta Rosie,#N/A
14928,"November 8, 1987 ","Mississippi Coliseum, Jackson, MS, USA",Appetite for Destruction,(Unknown),#N/A
14929,"November 7, 1987 ","Kiefer UNO Lakefront Arena, New Orleans, LA, USA",Appetite for Destruction,(Unknown),#N/A
14931,"November 4, 1987 ","Albany Civic Center, Albany, GA, USA",Appetite for Destruction,(Unknown),#N/A
14940,"November 1, 1987 ","The Bayou, Washington, DC, USA",Appetite for Destruction,(Unknown),#N/A
14984,"October 26, 1987 ","The Living Room, Providence, RI, USA",Appetite for Destruction,(Unknown),#N/A
14985,"October 25, 1987 ","The Chance, Poughkeepsie, NY, USA",Appetite for Destruction,(Unknown),#N/A
15001,"October 21, 1987 ","Palace Theatre, Albany, NY, USA",Appetite for Destruction,(Unknown),#N/A
15014,"October 18, 1987 ","Hammerjacks, Baltimore, MD, USA",Appetite for Destruction,(Unknown),#N/A
15027,"October 17, 1987 ","Airport Road Music Hall, Allentown, PA, USA",Appetite for Destruction,Whole Lotta Rosie,#N/A
15055,"October 8, 1987 ","Hammersmith Odeon, London, England",Appetite for Destruction,Whole Lotta Rosie,#N/A
15098,"October 4, 1987 ","Newcastle City Hall, Newcastle, England",Appetite for Destruction,Whole Lotta Rosie,#N/A
15131,"September 17, 1987 ","Saenger Performing Arts Theater, New Orleans, LA, USA",Appetite for Destruction,(Unknown),#N/A
15136,"September 13, 1987 ","Bronco Bowl, Dallas, TX, USA",Appetite for Destruction,(Unknown),#N/A
15137,"September 12, 1987 ","Palmer Auditorium, Austin, TX, USA",Appetite for Destruction,(Unknown),#N/A
15138,"September 11, 1987 ","Sunken Gardens Theater, San Antonio, TX, USA",Appetite for Destruction,(Unknown),#N/A
15139,"September 7, 1987 ","The Mason Jar, Phoenix, AZ, USA",Appetite for Destruction,(Unknown),#N/A
15161,"September 3, 1987 ","Civic Auditorium, Santa Cruz, CA, USA",Appetite for Destruction,(Unknown),#N/A
15175,"August 26, 1987 ","Edmonton Convention Centre, Edmonton, AB, Canada",Appetite for Destruction,(Unknown),#N/A
15186,"August 21, 1987 ","State Theatre, Detroit, MI, USA",Appetite for Destruction,(Unknown),#N/A
15197,"August 18, 1987 ","Superskate, Kitchener, ON, Canada",Appetite for Destruction,(Unknown),#N/A
15211,"August 14, 1987 ","Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,(Unknown),#N/A
15235,"June 28, 1987 ","Marquee Club, London, England",Appetite for Destruction,Whole Lotta Rosie,#N/A
15239,[delete,"Marquee Club, London, England",Appetite for Destruction,Shadow of Your Love,#N/A
15293,"December 23, 1986 ","The Cathouse, Hollywood, CA, USA",sign in,(Unknown),#N/A
15294,"December 21, 1986 ","Fender's Ballroom, Long Beach, CA, USA",sign in,Scarface,#N/A
15302,"November 15, 1986 ","Fender's Ballroom, Long Beach, CA, USA",sign in,(Unknown),#N/A
15303,"October 31, 1986 ","Ackerman Hall, Los Angeles, CA, USA",,Shadow of Your Love,#N/A
15311,"October 31, 1986 ","Ackerman Hall, Los Angeles, CA, USA",,Whole Lotta Rosie,#N/A
15312,"October 23, 1986 ","Arlington Theatre, Santa Barbara, CA, USA",,Shadow of Your Love,#N/A
15317,"October 23, 1986 ","Arlington Theatre, Santa Barbara, CA, USA",,Whole Lotta Rosie,#N/A
15338,"August 28, 1986 ","The Stone, San Francisco, CA, USA",sign in,(Unknown),#N/A
15340,"August 23, 1986 ","Whisky A Go Go, West Hollywood, CA, USA",sign in,Ain't Goin' Down,#N/A
15353,"August 23, 1986 ","Whisky A Go Go, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15368,"July 31, 1986 ","The Timbers, Glendora, CA, USA",sign in,Heartbreak Hotel,#N/A
15369,"July 31, 1986 ","The Timbers, Glendora, CA, USA",sign in,Shadow of Your Love,#N/A
15370,"July 31, 1986 ","The Timbers, Glendora, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15404,"July 11, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15405,"July 11, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15406,"July 11, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15414,"May 31, 1986 ","Gazzarri's, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15426,"May 1, 1986 ","The Central, Hollywood, CA, USA",,Jumpin' Jack Flash,#N/A
15439,"April 5, 1986 ","Whisky A Go Go, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15441,"April 5, 1986 ","Whisky A Go Go, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15462,"March 29, 1986 ","Fender's Ballroom, Long Beach, CA, USA",,Heartbreak Hotel,#N/A
15475,"March 28, 1986 ","The Roxy, West Hollywood, CA, USA",,Heartbreak Hotel,#N/A
15495,"March 11, 1986 ","Music Machine, Los Angeles, CA, USA",sign in,What's That Noise,#N/A
15506,"February 28, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,What's That Noise,#N/A
15510,"February 28, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15521,"February 28, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15531,"January 18, 1986 ","The Roxy, West Hollywood, CA, USA",sign in,What's That Noise,#N/A
15533,"January 18, 1986 ","The Roxy, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15535,"January 18, 1986 ","The Roxy, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15547,"January 18, 1986 ","The Roxy, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15548,"January 18, 1986 ","The Roxy, West Hollywood, CA, USA",sign in,Goodnight Tonight,#N/A
15550,"January 4, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15552,"January 4, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15564,"January 4, 1986 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15565,"December 20, 1985 ","Music Machine, Los Angeles, CA, USA",sign in,What's That Noise,#N/A
15566,"December 20, 1985 ","Music Machine, Los Angeles, CA, USA",sign in,Shadow of Your Love,#N/A
15574,"November 22, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,What's That Noise,#N/A
15576,"November 22, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15578,"November 22, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15587,"November 22, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Whole Lotta Rosie,#N/A
15588,"November 22, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Indiana Ain't My Kinda of Town,#N/A
15589,"November 22, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15590,"October 31, 1985 ","Radio City, Anaheim, CA, USA",sign in,What's That Noise,#N/A
15594,"October 31, 1985 ","Radio City, Anaheim, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15598,"October 31, 1985 ","Radio City, Anaheim, CA, USA",sign in,Heartbreak Hotel,#N/A
15599,"October 18, 1985 ","Country Club, Reseda, CA, USA",sign in,What's That Noise,#N/A
15601,"October 18, 1985 ","Country Club, Reseda, CA, USA",sign in,Shadow of Your Love,#N/A
15603,"October 18, 1985 ","Country Club, Reseda, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15611,"October 18, 1985 ","Country Club, Reseda, CA, USA",sign in,Heartbreak Hotel,#N/A
15615,"October 10, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15618,"September 28, 1985 ","Street Scene Festival, Los Angeles, CA, USA",sign in,What's That Noise,#N/A
15621,"September 28, 1985 ","Street Scene Festival, Los Angeles, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15623,"September 28, 1985 ","Street Scene Festival, Los Angeles, CA, USA",sign in,Shadow of Your Love,#N/A
15624,"September 28, 1985 ","Street Scene Festival, Los Angeles, CA, USA",sign in,Heartbreak Hotel,#N/A
15625,"September 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,What's That Noise,#N/A
15627,"September 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15629,"September 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15636,"September 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15639,"August 31, 1985 ","The Roxy, West Hollywood, CA, USA",sign in,What's That Noise,#N/A
15641,"August 31, 1985 ","The Roxy, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15643,"August 31, 1985 ","The Roxy, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15645,"August 31, 1985 ","The Roxy, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15648,"August 30, 1985 ","Stardust Ballroom, Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15652,"August 30, 1985 ","Stardust Ballroom, Hollywood, CA, USA",sign in,We're an American Band,#N/A
15655,"August 30, 1985 ","Stardust Ballroom, Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15663,"July 26, 1985 ","The Seance, Los Angeles, CA, USA",sign in,Shadow of Your Love,#N/A
15665,"July 26, 1985 ","The Seance, Los Angeles, CA, USA",sign in,Heartbreak Hotel,#N/A
15668,"July 21, 1985 ","UCLA, Los Angeles, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15676,"July 21, 1985 ","UCLA, Los Angeles, CA, USA",sign in,Heartbreak Hotel,#N/A
15678,"July 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15680,"July 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15688,"July 20, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15690,"July 4, 1985 ","Madame Wong's East, Los Angeles, CA, USA",sign in,Shadow of Your Love,#N/A
15691,"July 4, 1985 ","Madame Wong's East, Los Angeles, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15698,"July 4, 1985 ","Madame Wong's East, Los Angeles, CA, USA",sign in,Heartbreak Hotel,#N/A
15700,"June 28, 1985 ","Stardust Ballroom, Hollywood, CA, USA",sign in,Shadow of Your Love,#N/A
15701,"June 28, 1985 ","Stardust Ballroom, Hollywood, CA, USA",sign in,Jumpin' Jack Flash,#N/A
15709,"June 28, 1985 ","Stardust Ballroom, Hollywood, CA, USA",sign in,Heartbreak Hotel,#N/A
15712,"June 8, 1985 ","Gorilla Gardens Rock Theater, Seattle, WA, USA",,Heartbreak Hotel,#N/A
15713,"June 8, 1985 ","Gorilla Gardens Rock Theater, Seattle, WA, USA",,Shadow of Your Love,#N/A
15716,"June 6, 1985 ","Troubadour, West Hollywood, CA, USA",,Shadow of Your Love,#N/A
15717,"June 6, 1985 ","Troubadour, West Hollywood, CA, USA",,Jumpin' Jack Flash,#N/A
15724,"June 6, 1985 ","Troubadour, West Hollywood, CA, USA",,Heartbreak Hotel,#N/A
15725,"April 25, 1985 ","Dancing Waters Club, San Pedro, CA, USA",sign in,(Unknown),#N/A
15726,"April 24, 1985 ","Troubadour, West Hollywood, CA, USA",sign in,(Unknown),#N/A
15727,"April 11, 1985 ","Radio City, Anaheim, CA, USA",,(Unknown),#N/A
2,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,It's So Easy,Appetite for Destruction 
3,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
5,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
10,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
17,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
18,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,My Michelle,Appetite for Destruction 
23,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Nightrain,Appetite for Destruction 
26,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Paradise City,Appetite for Destruction 
30,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,It's So Easy,Appetite for Destruction 
31,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
33,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
38,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
45,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
46,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,My Michelle,Appetite for Destruction 
51,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Nightrain,Appetite for Destruction 
55,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Paradise City,Appetite for Destruction 
59,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,It's So Easy,Appetite for Destruction 
60,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
62,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
67,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
74,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
76,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Out Ta Get Me,Appetite for Destruction 
80,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Nightrain,Appetite for Destruction 
84,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Paradise City,Appetite for Destruction 
88,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,It's So Easy,Appetite for Destruction 
89,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
91,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
96,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
103,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
104,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,My Michelle,Appetite for Destruction 
110,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Nightrain,Appetite for Destruction 
113,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Paradise City,Appetite for Destruction 
117,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,It's So Easy,Appetite for Destruction 
118,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
120,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
125,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
132,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
138,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Nightrain,Appetite for Destruction 
142,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Paradise City,Appetite for Destruction 
146,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,It's So Easy,Appetite for Destruction 
147,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
149,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
154,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
161,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
167,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Nightrain,Appetite for Destruction 
169,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Paradise City,Appetite for Destruction 
173,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,It's So Easy,Appetite for Destruction 
174,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
176,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
181,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
189,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
195,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Nightrain,Appetite for Destruction 
198,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Paradise City,Appetite for Destruction 
202,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,It's So Easy,Appetite for Destruction 
203,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
205,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
210,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
217,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
223,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Nightrain,Appetite for Destruction 
226,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Paradise City,Appetite for Destruction 
230,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,It's So Easy,Appetite for Destruction 
231,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
233,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
238,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
246,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
248,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Out Ta Get Me,Appetite for Destruction 
252,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Nightrain,Appetite for Destruction 
255,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Paradise City,Appetite for Destruction 
259,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,It's So Easy,Appetite for Destruction 
260,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
262,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
267,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
274,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
276,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,My Michelle,Appetite for Destruction 
280,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Nightrain,Appetite for Destruction 
284,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Paradise City,Appetite for Destruction 
288,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,It's So Easy,Appetite for Destruction 
289,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
291,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
296,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
303,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
305,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Out Ta Get Me,Appetite for Destruction 
309,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Nightrain,Appetite for Destruction 
312,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Paradise City,Appetite for Destruction 
316,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,It's So Easy,Appetite for Destruction 
317,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
319,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
324,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
332,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
334,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,My Michelle,Appetite for Destruction 
338,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Nightrain,Appetite for Destruction 
342,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Paradise City,Appetite for Destruction 
346,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,It's So Easy,Appetite for Destruction 
347,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
349,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
354,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
362,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
364,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Out Ta Get Me,Appetite for Destruction 
368,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Nightrain,Appetite for Destruction 
371,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Paradise City,Appetite for Destruction 
375,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,It's So Easy,Appetite for Destruction 
376,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
378,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
383,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
391,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
393,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,My Michelle,Appetite for Destruction 
397,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Nightrain,Appetite for Destruction 
401,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Paradise City,Appetite for Destruction 
405,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,It's So Easy,Appetite for Destruction 
406,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Mr. Brownstone,Appetite for Destruction 
408,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Welcome to the Jungle,Appetite for Destruction 
413,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Rocket Queen,Appetite for Destruction 
421,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Sweet Child O' Mine,Appetite for Destruction 
422,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Out Ta Get Me,Appetite for Destruction 
426,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Nightrain,Appetite for Destruction 
430,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Paradise City,Appetite for Destruction 
434,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,It's So Easy,Appetite for Destruction 
